10-04050	Ambientación Universitaria	/facultad/secretarias/academica/departamentos/ingreso/departamento-ingreso/10-04050-ambientacion-universitaria/
10-04052	Física y Química	/facultad/secretarias/academica/departamentos/ingreso/departamento-ingreso/10-04052-fisica-y-quimica/
10-04051	Matemática	/facultad/secretarias/academica/departamentos/ingreso/departamento-ingreso/10-04051-matematica/
10-04053	Análisis Matemático 1	/facultad/secretarias/academica/departamentos/matematica/departamento-de-matematica/10-04053-analisis-matematico-1/
10-04057	Química	/facultad/secretarias/academica/departamentos/quimica/departamento-de-quimica/10-04057-quimica/
10-04055	Sistemas de Representación	/facultad/secretarias/academica/departamentos/diseno/departamento-de-diseno/10-04055-sistemas-de-representacion/
10-04058	Taller y Laboratorio	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-04058-taller-y-laboratorio/
10-04059	Álgebra Lineal	/facultad/secretarias/academica/departamentos/matematica/departamento-de-matematica/10-04059-algebra-lineal/
10-04060	Física 1	/facultad/secretarias/academica/departamentos/fisica/departamento-de-fisica/10-04060-fisica-1/
10-04061	Informática y Cálculo Numérico	/facultad/secretarias/academica/departamentos/computacion/departamento-de-computacion/10-04061-informatica-y-calculo-numerico/
10-04066	Módulo de Inglés	/facultad/secretarias/academica/departamentos/ensenanza-de-la-ciencia-y-la-tecnologia/departamento-de-ensenanza-de-la-ciencia-y-la-tecnologia/10-04066-modulo-de-ingles/
10-04063	Análisis Matemático 2	/facultad/secretarias/academica/departamentos/matematica/departamento-de-matematica/10-04063-analisis-matematico-2/
10-04068	Electrónica Digital 1	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-04068-electronica-digital-1/
10-09700	Informática Avanzada	/facultad/secretarias/academica/departamentos/computacion/departamento-de-computacion/10-09700-informatica-avanzada/
10-04062	Probabilidad y Estadística	/facultad/secretarias/academica/departamentos/matematica/departamento-de-matematica/10-04062-probabilidad-y-estadistica/
10-04070	Análisis Matemático 3	/facultad/secretarias/academica/departamentos/matematica/departamento-de-matematica/10-04070-analisis-matematico-3/
10-09701	Dispositivos Electrónicos	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09701-dispositivos-electronicos/
10-04071	Electrónica Digital 2	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-04071-electronica-digital-2/
10-04067	Física 2	/facultad/secretarias/academica/departamentos/fisica/departamento-de-fisica/10-04067-fisica-2/
10-04075	Electrónica Digital 3	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-04075-electronica-digital-3/
10-09702	Mediciones Electrónicas	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09702-mediciones-electronicas/
10-04076	Señales y Sistemas	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-04076-senales-y-sistemas/
10-09703	Teoría de Circuitos	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09703-teoria-de-circuitos/
10-09704	Electrónica Analógica 1	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09704-electronica-analogica-1/
10-09705	Sistemas de Computación	/facultad/secretarias/academica/departamentos/computacion/departamento-de-computacion/10-09705-sistemas-de-computacion/
10-04081	Sistemas de Control 1	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-04081-sistemas-de-control-1/
10-09706	Tecnología Electrónica	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09706-tecnologia-electronica/
10-09707	Electrónica Analógica 2	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09707-electronica-analogica-2/
10-04064	Ingeniería Económica y Legal	/facultad/secretarias/academica/departamentos/ingenieria-economica-y-legal/departamento-de-ingenieria-economica-y-legal/10-04064-ingenieria-economica-y-legal/
10-09708	Instalaciones Eléctricas	/facultad/secretarias/academica/departamentos/electrotecnia/departamento-de-electrotecnia/10-09708-instalaciones-electricas/
10-09709	Sistemas de Comunicación	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09709-sistemas-de-comunicacion/
10-09710	Campo Electromagnético	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09710-campo-electromagnetico/
10-09711	Electrónica Analógica 3	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09711-electronica-analogica-3/
10-04078	Higiene y Seguridad	/facultad/secretarias/academica/departamentos/produccion-gestion-y-medio-ambiente/departamento-de-produccion-gestion-y-medioambiente/10-04078-higiene-y-seguridad/
10-04082	Sistemas de Control 2	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-04082-sistemas-de-control-2/
10-09712	Electrónica Industrial	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09712-electronica-industrial/
10-09713	Ingeniería de Microondas	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09713-ingenieria-de-microondas/
10-09715	Práctica Profesional Supervisada	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09715-practica-profesional-supervisada/
10-09717	Proyecto Integrador	/facultad/secretarias/academica/departamentos/electronica/departamento-de-electronica/10-09717-proyecto-integrador/
